Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,70.5,-174.5,0.0,top
C2,100uF,C_1206_3216Metric,114.5,-157.5,-90.0,top
C3,100uF,C_1206_3216Metric,107.5,-175.0,0.0,top
C4,100uF,C_1206_3216Metric,114.5,-98.0,-90.0,top
C5,100uF,C_1206_3216Metric,82.5,-170.0,0.0,top
C6,100nF,C_0402_1005Metric,57.5,-248.0,90.0,top
D1,LED G,LED_0805_2012Metric,115.0,-200.0,90.0,top
D10,LED G,LED_0805_2012Metric,66.903012,-209.567086,112.5,top
D100,LED Y,LED_0805_2012Metric,85.0,-140.0,-90.0,top
D101,LED Y,LED_0805_2012Metric,90.0,-145.0,180.0,top
D102,LED Y,LED_0805_2012Metric,90.0,-140.0,90.0,top
D103,LED R,LED_0805_2012Metric,115.0,-80.0,90.0,top
D104,LED R,LED_0805_2012Metric,113.096988,-70.432914,-67.5,top
D105,LED R,LED_0805_2012Metric,107.67767,-62.32233,135.0,top
D106,LED R,LED_0805_2012Metric,99.567086,-56.903012,-22.5,top
D107,LED R,LED_0805_2012Metric,90.0,-55.0,180.0,top
D108,LED R,LED_0805_2012Metric,80.432914,-56.903012,22.5,top
D109,LED R,LED_0805_2012Metric,72.32233,-62.32233,-135.0,top
D11,LED G,LED_0805_2012Metric,72.32233,-217.67767,-45.0,top
D110,LED R,LED_0805_2012Metric,66.903012,-70.432914,67.5,top
D111,LED R,LED_0805_2012Metric,65.0,-80.0,-90.0,top
D112,LED R,LED_0805_2012Metric,66.903012,-89.567086,112.5,top
D113,LED R,LED_0805_2012Metric,72.32233,-97.67767,-45.0,top
D114,LED R,LED_0805_2012Metric,80.432914,-103.096988,157.5,top
D115,LED R,LED_0805_2012Metric,90.0,-105.0,0.0,top
D116,LED R,LED_0805_2012Metric,99.567086,-103.096988,-157.5,top
D117,LED R,LED_0805_2012Metric,107.67767,-97.67767,45.0,top
D118,LED R,LED_0805_2012Metric,113.096988,-89.567086,-112.5,top
D119,LED R,LED_0805_2012Metric,110.0,-80.0,90.0,top
D12,LED G,LED_0805_2012Metric,80.432914,-223.096988,157.5,top
D120,LED R,LED_0805_2012Metric,107.709121,-70.705537,-62.30769231,top
D121,LED R,LED_0805_2012Metric,101.361295,-63.540323,145.3846154,top
D122,LED R,LED_0805_2012Metric,92.410734,-60.145823,173.0769231,top
D123,LED R,LED_0805_2012Metric,82.907902,-61.299675,20.7692308,top
D124,LED R,LED_0805_2012Metric,75.029785,-66.737547,-131.5384615,top
D125,LED R,LED_0805_2012Metric,70.581164,-75.213687,76.1538462,top
D126,LED R,LED_0805_2012Metric,70.581164,-84.786313,-76.15384615,top
D127,LED R,LED_0805_2012Metric,75.029785,-93.262453,-48.46153846,top
D128,LED R,LED_0805_2012Metric,82.907902,-98.700325,159.2307692,top
D129,LED R,LED_0805_2012Metric,92.410734,-99.854177,6.923076923,top
D13,LED G,LED_0805_2012Metric,90.0,-225.0,0.0,top
D130,LED R,LED_0805_2012Metric,101.361295,-96.459677,34.61538462,top
D131,LED R,LED_0805_2012Metric,107.709121,-89.294463,-117.6923077,top
D132,LED R,LED_0805_2012Metric,105.0,-80.0,90.0,top
D133,LED R,LED_0805_2012Metric,102.135255,-71.183221,-54.0,top
